transaction_id,purchasing_time,customer_id,product_id,price_per_unit,unit,destination_district,destination_province,postal_code
trans_8,2022-10-15 00:57,8,mmk-08,20.00,2,สวนหลวง,กรุงเทพมหานคร,10250
trans_8,2022-10-15 00:57,8,mmk-13,20.00,1,สวนหลวง,กรุงเทพมหานคร,10250
trans_8,2022-10-15 00:57,8,mmk-08,20.00,1,สวนหลวง,กรุงเทพมหานคร,10250
trans_8,2022-10-15 00:57,8,mmk-14,20.00,1,สวนหลวง,กรุงเทพมหานคร,10250
trans_8,2022-10-15 00:57,8,agl-03,139.00,1,สวนหลวง,กรุงเทพมหานคร,10250
trans_9,2022-10-12 20:52,9,mmk-10,20.00,1,สะพานสูง,กรุงเทพมหานคร,10240
trans_9,2022-10-12 20:52,9,mmk-04,16.00,1,สะพานสูง,กรุงเทพมหานคร,10240
trans_9,2022-10-12 20:52,9,mmk-07,16.00,1,สะพานสูง,กรุงเทพมหานคร,10240
trans_9,2022-10-12 20:52,9,mmk-08,16.00,1,สะพานสูง,กรุงเทพมหานคร,10240
trans_9,2022-10-12 20:52,9,mmk-03,16.00,1,สะพานสูง,กรุงเทพมหานคร,10240
trans_9,2022-10-12 20:52,9,mmk-17,16.00,1,สะพานสูง,กรุงเทพมหานคร,10240
trans_10,2022-10-30 01:12,10,mmk-02,20.00,1,เพ็ญ,อุดรธานี,41150
trans_10,2022-10-30 01:12,10,mmk-06,20.00,1,เพ็ญ,อุดรธานี,41150
trans_10,2022-10-30 01:12,10,mmk-12,20.00,1,เพ็ญ,อุดรธานี,41150
trans_11,2022-10-09 09:12,11,agl-sup-01-03,60.00,1,วารินชำราบ,อุบลราชธานี,34190
trans_11,2022-10-09 09:12,11,agl-sup-02-03,60.00,1,วารินชำราบ,อุบลราชธานี,34190
trans_12,2022-10-04 22:11,12,agl-sup-01-03,60.00,1,เมืองกระบี่,กระบี่,81000
trans_12,2022-10-04 22:11,12,agl-sup-02-03,60.00,1,เมืองกระบี่,กระบี่,81000
trans_13,2022-10-09 21:29,13,agl-sup-01-03,60.00,1,จักราช,นครราชสีมา,30230
trans_13,2022-10-09 21:29,13,agl-sup-02-03,60.00,1,จักราช,นครราชสีมา,30230
trans_13,2022-10-09 21:29,13,agl-sup-03-03,50.00,1,จักราช,นครราชสีมา,30230
trans_14,2022-10-15 08:58,14,agl-sup-01-03,60.00,1,หนองเสือ,ปทุมธานี,12170
trans_14,2022-10-15 08:58,14,agl-sup-02-03,60.00,1,หนองเสือ,ปทุมธานี,12170
trans_14,2022-10-15 08:58,14,agl-sup-03-03,50.00,1,หนองเสือ,ปทุมธานี,12170
trans_14,2022-10-15 08:58,14,agl-04-05,50.00,1,หนองเสือ,ปทุมธานี,12170
trans_15,2022-10-14 22:18,15,agl-02,45.00,1,เชียงดาว,เชียงใหม่,50170
trans_15,2022-10-14 22:18,15,agl-sup-01-03,60.00,1,เชียงดาว,เชียงใหม่,50170
trans_15,2022-10-14 22:18,15,agl-sup-02-03,60.00,1,เชียงดาว,เชียงใหม่,50170
trans_16,2022-10-05 21:13,16,agl-01,45.00,1,หนองโดน,สระบุรี,18190
trans_16,2022-10-05 21:13,16,agl-sup-01-03,60.00,1,หนองโดน,สระบุรี,18190
trans_16,2022-10-05 21:13,16,agl-sup-02-03,60.00,1,หนองโดน,สระบุรี,18190
trans_17,2022-10-01 13:48,17,agl-05,55.00,10,ละงู,สตูล,91110
trans_18,2022-10-01 13:49,17,agl-sup-03-03,50.00,10,ละงู,สตูล,91110
trans_19,2022-10-20 01:01,18,agl-sup-02-03,60.00,1,เวียงชัย,เชียงราย,57210
trans_19,2022-10-20 01:01,18,agl-sup-03-03,50.00,1,เวียงชัย,เชียงราย,57210
trans_20,2022-10-01 00:43,19,agl-sup-01-03,60.00,1,อรัญประเทศ,สระแก้ว,27120
trans_20,2022-10-01 00:43,19,agl-sup-02-03,60.00,1,อรัญประเทศ,สระแก้ว,27120
trans_21,2022-10-02 23:39,20,agl-sup-01-03,60.00,5,เมืองนครปฐม,นครปฐม,73000
trans_21,2022-10-02 23:39,20,agl-sup-02-03,60.00,5,เมืองนครปฐม,นครปฐม,73000
trans_22,2022-10-19 09:06,21,pot-bella-2211be,42.00,1,พญาไท,กรุงเทพมหานคร,10400
trans_22,2022-10-19 09:06,21,pot-bella-2211w,42.00,2,พญาไท,กรุงเทพมหานคร,10400
trans_22,2022-10-19 09:06,21,pot-bella-2211g,42.00,1,พญาไท,กรุงเทพมหานคร,10400
trans_23,2022-10-15 09:09,22,pot-bella-9976w,720.00,3,จตุจักร,กรุงเทพมหานคร,10900
trans_23,2022-10-15 09:09,22,pot-bella-9977w,825.00,3,จตุจักร,กรุงเทพมหานคร,10900
trans_24,2022-10-19 21:06,23,pot-bella-9976w,720.00,1,ประเวศ,กรุงเทพมหานคร,10250
trans_24,2022-10-19 21:06,23,pot-bella-9975w,500.00,1,ประเวศ,กรุงเทพมหานคร,10250
